Phylum;Phylum_count;bact_defence_system;system_count;Number_of_phylum_containing_each_system;Total_number_of_different_system_per_prokaryotic_genomes;Frequency_of_each_system_in_a_given_phylum
Acidobacteriota;8;3HP;0;0;0;0
Acidobacteriota;8;AVAST;0;0;0;0
Acidobacteriota;8;Abi;1;5;5;0.625
Acidobacteriota;8;Argonaute;1;3;3;0.375
Acidobacteriota;8;BREX;1;1;1;0.125
Acidobacteriota;8;CBASS;0;0;0;0
Acidobacteriota;8;CRISPR-Cas;1;2;2;0.25
Acidobacteriota;8;DISARM;0;0;0;0
Acidobacteriota;8;DRT;0;0;0;0
Acidobacteriota;8;DUF4238;0;0;0;0
Acidobacteriota;8;DarTG;1;1;1;0.125
Acidobacteriota;8;Dpd;0;0;0;0
Acidobacteriota;8;DprA-PRTase;0;0;0;0
Acidobacteriota;8;Druantia;0;0;0;0
Acidobacteriota;8;Dsr;0;0;0;0
Acidobacteriota;8;GAO;1;1;1;0.125
Acidobacteriota;8;Gabija;1;2;2;0.25
Acidobacteriota;8;Gasdermin;1;1;1;0.125
Acidobacteriota;8;Hachiman;0;0;0;0
Acidobacteriota;8;Helicase-DUF2290;0;0;0;0
Acidobacteriota;8;Hhe;0;0;0;0
Acidobacteriota;8;Hma;0;0;0;0
Acidobacteriota;8;Hydrolase-TM;0;0;0;0
Acidobacteriota;8;Kiwa;0;0;0;0
Acidobacteriota;8;Lamassu;0;0;0;0
Acidobacteriota;8;Mza;0;0;0;0
Acidobacteriota;8;Nhi;0;0;0;0
Acidobacteriota;8;PARIS;0;0;0;0
Acidobacteriota;8;Paris_fused;0;0;0;0
Acidobacteriota;8;Phosphorothioation;1;1;1;0.125
Acidobacteriota;8;Ppl;0;0;0;0
Acidobacteriota;8;Pycsar;2;1;2;0.125
Acidobacteriota;8;RADAR;0;0;0;0
Acidobacteriota;8;RM;3;5;8;0.625
Acidobacteriota;8;Retron;0;0;0;0
Acidobacteriota;8;Septu;1;1;1;0.125
Acidobacteriota;8;Shedu;0;0;0;0
Acidobacteriota;8;TIR-NLR;0;0;0;0
Acidobacteriota;8;TerY-P;0;0;0;0
Acidobacteriota;8;Thoeris;1;1;1;0.125
Acidobacteriota;8;Tmn;0;0;0;0
Acidobacteriota;8;Upx;0;0;0;0
Acidobacteriota;8;Viperin;0;0;0;0
Acidobacteriota;8;Wadjet;0;0;0;0
Acidobacteriota;8;Zorya;1;1;1;0.125
Acidobacteriota;8;dXTPase;0;0;0;0
Acidobacteriota;8;ietAS;1;2;2;0.25
Acidobacteriota;8;qatABCD;1;1;1;0.125
Actinomycetota;82;3HP;0;0;0;0
Actinomycetota;82;AVAST;0;0;0;0
Actinomycetota;82;Abi;3;34;45;0.414634146
Actinomycetota;82;Argonaute;1;4;4;0.048780488
Actinomycetota;82;BREX;1;5;5;0.06097561
Actinomycetota;82;CBASS;2;10;11;0.12195122
Actinomycetota;82;CRISPR-Cas;2;13;15;0.158536585
Actinomycetota;82;DISARM;1;5;5;0.06097561
Actinomycetota;82;DRT;2;4;5;0.048780488
Actinomycetota;82;DUF4238;0;0;0;0
Actinomycetota;82;DarTG;0;0;0;0
Actinomycetota;82;Dpd;1;3;3;0.036585366
Actinomycetota;82;DprA-PRTase;0;0;0;0
Actinomycetota;82;Druantia;2;6;8;0.073170732
Actinomycetota;82;Dsr;0;0;0;0
Actinomycetota;82;GAO;0;0;0;0
Actinomycetota;82;Gabija;1;13;13;0.158536585
Actinomycetota;82;Gasdermin;0;0;0;0
Actinomycetota;82;Hachiman;1;3;3;0.036585366
Actinomycetota;82;Helicase-DUF2290;1;1;1;0.012195122
Actinomycetota;82;Hhe;0;0;0;0
Actinomycetota;82;Hma;1;4;4;0.048780488
Actinomycetota;82;Hydrolase-TM;0;0;0;0
Actinomycetota;82;Kiwa;1;3;3;0.036585366
Actinomycetota;82;Lamassu;0;0;0;0
Actinomycetota;82;Mza;1;3;3;0.036585366
Actinomycetota;82;Nhi;0;0;0;0
Actinomycetota;82;PARIS;1;1;1;0.012195122
Actinomycetota;82;Paris_fused;0;0;0;0
Actinomycetota;82;Phosphorothioation;1;2;2;0.024390244
Actinomycetota;82;Ppl;1;1;1;0.012195122
Actinomycetota;82;Pycsar;1;2;2;0.024390244
Actinomycetota;82;RADAR;0;0;0;0
Actinomycetota;82;RM;4;64;115;0.780487805
Actinomycetota;82;Retron;1;3;3;0.036585366
Actinomycetota;82;Septu;1;5;5;0.06097561
Actinomycetota;82;Shedu;1;3;3;0.036585366
Actinomycetota;82;TIR-NLR;0;0;0;0
Actinomycetota;82;TerY-P;1;1;1;0.012195122
Actinomycetota;82;Thoeris;1;2;2;0.024390244
Actinomycetota;82;Tmn;0;0;0;0
Actinomycetota;82;Upx;0;0;0;0
Actinomycetota;82;Viperin;0;0;0;0
