Family;Family_count;bact_defence_system;system_count;Number_of_family_containing_each_system;Total_number_of_different_system_per_prokaryotic_genomes;Frequency_of_each_system_in_a_given_family
AG-422-B15;1;3HP;0;0;0;0
AG-422-B15;1;AVAST;0;0;0;0
AG-422-B15;1;Abi;0;0;0;0
AG-422-B15;1;Argonaute;0;0;0;0
AG-422-B15;1;BREX;0;0;0;0
AG-422-B15;1;CBASS;0;0;0;0
AG-422-B15;1;CRISPR-Cas;0;0;0;0
AG-422-B15;1;DISARM;0;0;0;0
AG-422-B15;1;DRT;0;0;0;0
AG-422-B15;1;DUF4238;0;0;0;0
AG-422-B15;1;DarTG;0;0;0;0
AG-422-B15;1;Dpd;0;0;0;0
AG-422-B15;1;DprA-PRTase;0;0;0;0
AG-422-B15;1;Druantia;0;0;0;0
AG-422-B15;1;Dsr;0;0;0;0
AG-422-B15;1;GAO;0;0;0;0
AG-422-B15;1;Gabija;0;0;0;0
AG-422-B15;1;Gasdermin;0;0;0;0
AG-422-B15;1;Hachiman;0;0;0;0
AG-422-B15;1;Helicase-DUF2290;0;0;0;0
AG-422-B15;1;Hhe;0;0;0;0
AG-422-B15;1;Hma;0;0;0;0
AG-422-B15;1;Hydrolase-TM;0;0;0;0
AG-422-B15;1;Kiwa;0;0;0;0
AG-422-B15;1;Lamassu;0;0;0;0
AG-422-B15;1;Mza;0;0;0;0
AG-422-B15;1;Nhi;0;0;0;0
AG-422-B15;1;PARIS;0;0;0;0
AG-422-B15;1;Paris_fused;0;0;0;0
AG-422-B15;1;Phosphorothioation;0;0;0;0
AG-422-B15;1;Ppl;0;0;0;0
AG-422-B15;1;Pycsar;0;0;0;0
AG-422-B15;1;RADAR;0;0;0;0
AG-422-B15;1;RM;1;1;1;1
AG-422-B15;1;Retron;0;0;0;0
AG-422-B15;1;Septu;0;0;0;0
AG-422-B15;1;Shedu;0;0;0;0
AG-422-B15;1;TIR-NLR;0;0;0;0
AG-422-B15;1;TerY-P;0;0;0;0
AG-422-B15;1;Thoeris;0;0;0;0
AG-422-B15;1;Tmn;0;0;0;0
AG-422-B15;1;Upx;0;0;0;0
AG-422-B15;1;Viperin;0;0;0;0
AG-422-B15;1;Wadjet;0;0;0;0
AG-422-B15;1;Zorya;0;0;0;0
AG-422-B15;1;dXTPase;1;1;1;1
AG-422-B15;1;ietAS;0;0;0;0
AG-422-B15;1;qatABCD;0;0;0;0
