AccessionID;system;Frequency;database;isol_env;host_species;oxygen_tolerance;Phylum_count;Family;Family_count;bact_defence_system;Phylum;Tax:Superkingdom;Tax:Phylum;Tax:Class;Tax:Order;Tax:Family;Tax:Genus;Tax:Species
GCA_000009705;DMS_other;7;bacdive;Freshwater;0;0;9;Nostocaceae;2;DMS;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;DRT_other;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;DRT;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;I-D;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;CRISPR-Cas_cctyper;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;III-D;2;bacdive;Freshwater;0;0;9;Nostocaceae;2;CRISPR-Cas_cctyper;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;PT_DndABCDE;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;Phosphorothioation;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;PT_PbeABCD;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;Phosphorothioation;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;PifA;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;Abi;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;RM_type_II;3;bacdive;Freshwater;0;0;9;Nostocaceae;2;RM;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;RM_type_IV;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;RM;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
GCA_000009705;V-K;1;bacdive;Freshwater;0;0;9;Nostocaceae;2;CRISPR-Cas_cctyper;Cyanobacteriota;d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;"s__Trichormus sp000009705"""
