"AccessionID","system","Frequency","database","isol_env","host_species","oxygen_tolerance","dependent","oxygen_requirement","classification","Column_1","Column_2","Column_3","Column_4","Column_5","Column_6","Column_7","Phylum","P_count","Family","F_count","bact_defence_system"
"GCA_000009705","DMS_other",7,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"DMS"
"GCA_000009705","DRT_other",1,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"DRT"
"GCA_000009705","I-D",1,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"CRISPR-Cas_cctyper"
"GCA_000009705","III-D",2,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"CRISPR-Cas_cctyper"
"GCA_000009705","PT_DndABCDE",1,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"Phosphorothioation"
"GCA_000009705","PT_PbeABCD",1,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"Phosphorothioation"
"GCA_000009705","PifA",1,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"Abi"
"GCA_000009705","RM_type_II",3,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"RM"
"GCA_000009705","RM_type_IV",1,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"RM"
"GCA_000009705","V-K",1,"bacdive","Freshwater","0","0","","","d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp000009705","d__Bacteria","p__Cyanobacteriota","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Trichormus","s__Trichormus sp000009705","Cyanobacteriota",9,"Nostocaceae",2,"CRISPR-Cas_cctyper"
